cDesc,cSize,cGenes,k_input_from_cGenes,k_present,k_missing,fraction_present,category_score_z,null_mean_score_z,p_one_sided,tail,p_corrected
dendritic transport,10,"KIF3B, STAU2, WASF1, TRAK2, KIF5B, FLOT2, PURA, KIF5C, KIF17, KIF5A",10,10,0,1.0,0.12811622023582458,1.2434497875801753e-18,0.05549445055494451,two-sided,0.5763946253458277
sodium-independent organic anion transport,6,"SLCO2A1, SLCO4A1, SLCO1C1, SLCO3A1, SLC22A9, SLC16A2",6,6,0,1.0,0.1280912607908249,-2.120525977034049e-18,0.0217978202179782,two-sided,0.5333941605839416
serotonin receptor signaling pathway,16,"CHRM3, HTR3B, CHRM2, HTR1E, HTR1F, HTR2C, HRH3, HTR1A, CHRM1, HRH1, GNAZ, HRH2, HTR2A, HTR5A, HTR7, HTR4",16,16,0,1.0,0.1279391050338745,3.774758283725532e-19,0.06379362063793621,two-sided,0.5895758749483904
peptidyl-threonine dephosphorylation,11,"DUSP18, DUSP7, DUSP2, DUSP4, PDP1, PPM1B, DUSP1, PPM1E, DUSP6, DUSP8, PGAM5",11,11,0,1.0,0.12761467695236206,3.11972669919669e-18,0.0103989601039896,two-sided,0.5020180334907686
iron ion transmembrane transport,9,"MCOLN1, SLC39A8, TTYH1, ABCB7, SLC40A1, STEAP2, ISCU, SLC39A14, SCARA5",9,9,0,1.0,0.12701541185379028,-2.0095036745715335e-18,0.029697030296970302,two-sided,0.5500787789701755
regulation of circadian sleep/wake cycle,9,"DRD2, CRH, ADORA1, PER3, NLGN1, NMU, KCNA2, NR1D1, ADRB1",9,9,0,1.0,0.1265852153301239,2.3980817331903383e-18,0.0122987701229877,two-sided,0.5020180334907686
cellular response to thyroid hormone stimulus,9,"INHBB, GCLM, KIT, THRB, KLF9, CTSH, PPARGC1A, CTSL, LMO2",9,9,0,1.0,0.12657946348190308,-6.661338147750939e-19,0.020597940205979402,two-sided,0.5240717307579587
positive regulation of phospholipid biosynthetic process,6,"ACSL3, XBP1, FABP3, HTR2C, HTR2A, ADGRF5",6,6,0,1.0,0.12655027210712433,5.218048215738236e-18,0.0240975902409759,two-sided,0.5464679585681278
chemical homeostasis within a tissue,7,"SFTPD, ADGRF5, CTSH, RCN3, LPCAT1, HOMER1, VEGFA",7,7,0,1.0,0.1264294534921646,-5.329070518200751e-19,0.034396560343965606,two-sided,0.5500787789701755
positive regulation of deacetylase activity,6,"PRKD1, FNTA, CREB3, VEGFA, LRRK2, PINK1",6,6,0,1.0,0.12569113075733185,-2.5091040356528536e-18,0.025097490250974904,two-sided,0.5494277427380937
regulation of odontogenesis,9,"EDN1, APCDD1, WNT6, SLC4A2, MSX1, BCOR, RSPO2, WNT10A, RUNX2",9,9,0,1.0,0.12505102157592773,2.1538326677728038e-18,0.014198580141985802,two-sided,0.5020180334907686
negative regulation of neuron projection regeneration,10,"RGMA, THY1, SPP1, KREMEN1, RTN4RL1, RTN4R, EPHA4, KIAA0319, INPP5F, PTPRS",10,10,0,1.0,0.12488039582967758,4.218847493575595e-19,0.009299070092990702,two-sided,0.5020180334907686
regulation of protein kinase A signaling,16,"AKAP12, PRKAR2A, SPATC1L, ADGRV1, RAMP3, AKAP7, MIF, TCIM, MC1R, AKAP5, ADRB2, NRXN1, PJA1, AKAP6, LRRK2, PDE4A",16,16,0,1.0,0.12471382319927216,-9.103828801926284e-19,0.0086991300869913,two-sided,0.5020180334907686
G-protein coupled serotonin receptor signaling pathway,15,"HTR2C, HTR1A, HTR7, HTR1E, HTR4, GNAZ, HTR1F, HRH3, HRH2, CHRM3, CHRM2, CHRM1, HRH1, HTR2A, HTR5A",15,15,0,1.0,0.12471011281013489,-1.0880185641326534e-18,0.06209379062093791,two-sided,0.5895758749483904
tonic smooth muscle contraction,7,"MYLK, EDN1, CD38, EDNRA, GRIP2, MKKS, HTR2A",7,7,0,1.0,0.12443897873163223,-1.021405182655144e-18,0.0430956904309569,two-sided,0.555752561788789
cellular response to histamine,7,"GABRA1, GABRB3, HRH1, DIAPH1, GABRB2, GABRB1, GABRG2",7,7,0,1.0,0.12342674285173416,2.375877272697835e-18,0.024397560243975602,two-sided,0.5464679585681278
epinephrine transport,8,"ADRA2C, GABBR1, CARTPT, SLC29A4, VIP, CRH, LY6E, ADRA2A",8,8,0,1.0,0.12314973771572113,-5.3290705182007515e-18,0.1374862513748625,two-sided,0.5898481380912188
negative regulation of myelination,7,"MTMR2, JAM2, CTSC, TNFRSF21, TNF, FIG4, TMEM98",7,7,0,1.0,0.12271084636449814,-3.952393967665557e-18,0.04129587041295871,two-sided,0.5500787789701755
